CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
9411	B237	146	21	NOVO	M	12	E	33	ENTRE 2 E 4 ANOS	0
9412	B237	146	72	NOVO	M	12	E	33	ENTRE 2 E 4 ANOS	0
9413	B341	467	32	NOVO	M	0	E	47	ENTRE 9 E 14 ANOS	1
9414	B341	467	25	NOVO	M	0	E	47	ENTRE 9 E 14 ANOS	1
9416	B356	61.42	41	EXPERIENTE	M	0	E	59	MAIOR OU IGUAL A 15	1
9417	B237	188.84	29	NOVO	M	16	E	34	ENTRE 2 E 4 ANOS	0
9418	B237	705.6	50	NOVO	M	16	E	34	ENTRE 2 E 4 ANOS	0
9419	B104	125.31	31	NEUTRO	M	5	E	50	ENTRE 1 E 2 ANOS	1
9423	B1	723.87	7	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9424	B1	723.87	7	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9425	B1	723.87	7	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9426	B1	723.87	26	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9427	B1	723.87	9	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9428	B1	723.87	21	NOVO	M	14	F	NULL	ENTRE 9 E 14 ANOS	0
9429	B33	110	13	NOVO	M	16	F	46	ENTRE 4 E 9 ANOS	0
9430	B33	110	17	NOVO	M	16	F	46	ENTRE 4 E 9 ANOS	0
9432	B341	223.6	10	VIP	F	16	F	36	MAIOR OU IGUAL A 15	1
9433	B341	183	12	NOVO	M	16	F	51	ATÉ 1 ANO	0
9434	B341	183	10	NOVO	M	16	F	51	ENTRE 1 E 2 ANOS	0
9438	B341	340	11	NEUTRO	F	0	F	58	MAIOR OU IGUAL A 15	1
9439	B1	4126	13	EXPERIENTE	F	16	F	65	ENTRE 4 E 9 ANOS	0
9440	B1	345	10	EXPERIENTE	M	16	F	68	ENTRE 4 E 9 ANOS	0
9443	B341	450	8	EXPERIENTE	M	3	F	30	ENTRE 4 E 9 ANOS	0
9444	B237	311	11	NOVO	M	1	F	24	ENTRE 1 E 2 ANOS	1
9446	B399	307.75	13	NOVO	M	16	C	37	ATÉ 1 ANO	0
9447	B341	150	7	NEUTRO	F	0	C	51	MAIOR OU IGUAL A 15	0
9449	B341	490	19	EXPERIENTE	M	11	C	53	ENTRE 2 E 4 ANOS	1
